agradecerá	agradecería
ampliará	ampliaría
anunciará	anunciaría
aparecerá	aparecería
asegurará	aseguraría
atenderá	atendería
añadirá	añadiría
cambiará	cambiaría
causará	causaría
comenzará	comenzaría
completará	completaría
comprará	compraría
confirmará	confirmaría
contendrá	contendría
coordinará	coordinaría
correrá	correría
cubrirá	cubriría
cumplirá	cumpliría
definirá	definiría
demostrará	demostraría
describirá	describiría
empezará	empezaría
enfrentará	enfrentaría
enviará	enviaría
esperará	esperaría
fallará	fallaría
generará	generaría
habrá	habría
indicará	indicaría
invertirá	invertiría
jugará	jugaría
llegará	llegaría
llorará	lloraría
mantendrá	mantendría
medirá	mediría
modificará	modificaría
moverá	movería
ocurrirá	ocurriría
pagará	pagaría
preguntará	preguntaría
preparará	prepararía
proporcionará	proporcionaría
reducirá	reduciría
regresará	regresaría
salvará	salvaría
satisfará	satisfaría
servirá	serviría
sumará	sumaría
tocará	tocaría
votará	votaría
