aceleran	acelerarías
anuncian	anunciarías
beben	beberías
celebran	celebrarías
comienzan	comenzarías
comen	comerías
comprueban	comprobarías
consideran	considerarías
contienen	contendrías
crecen	crecerías
cubren	cubrirías
cuidan	cuidarías
dejan	dejarías
descubren	descubrirías
detienen	detendrías
dirigen	dirigirías
disfrutan	disfrutarías
ejercen	ejercerías
eliminan	eliminarías
entienden	entenderías
envían	enviarías
existen	existirías
garantizan	garantizarías
gastan	gastarías
implican	implicarías
incrementan	incrementarías
integran	integrarías
introducen	introducirías
investigan	investigarías
leen	leerías
localizan	localizarías
miran	mirarías
mueren	morirías
mueven	moverías
parecen	parecerías
participan	participarías
permanecen	permanecerías
promocionan	promocionarías
proporcionan	proporcionarías
reciben	recibirías
recogen	recogerías
reconocen	reconocerías
reducen	reducirías
refieren	referirías
sientan	sentarías
señalan	señalarías
tienen	tendrías
tocan	tocarías
toman	tomarías
unen	unirías
