apoyabas	apoyaste
aprendías	aprendiste
bebías	bebiste
buscabas	buscaste
casabas	casaste
comenzabas	comenzaste
conseguías	conseguiste
considerabas	consideraste
contenías	contuviste
corrías	corriste
cortabas	cortaste
creabas	creaste
crecías	creciste
creías	creíste
cubrías	cubriste
demostrabas	demostraste
destacabas	destacaste
determinabas	determinaste
disfrutabas	disfrutaste
elaborabas	elaboraste
eliminabas	eliminaste
entendías	entendiste
entrabas	entraste
firmabas	firmaste
fortalecías	fortaleciste
garantizabas	garantizaste
guardabas	guardaste
hacías	hiciste
identificabas	identificaste
involucrabas	involucraste
medías	mediste
modificabas	modificaste
morías	moriste
movías	moviste
pagabas	pagaste
parabas	paraste
participabas	participaste
ponías	pusiste
protegías	protegiste
reforzabas	reforzaste
requerías	requeriste
seguías	seguiste
sentías	sentiste
solicitabas	solicitaste
soportabas	soportaste
tomabas	tomaste
veías	viste
visitabas	visitaste
volvías	volviste
votabas	votaste
