abren	abristeis
acceden	accedisteis
alcanzan	alcanzasteis
aprueban	aprobasteis
aprovechan	aprovechasteis
averiguan	averiguasteis
cierran	cerrasteis
comprenden	comprendisteis
comprueban	comprobasteis
conocen	conocisteis
cortan	cortasteis
creen	creísteis
defienden	defendisteis
descubren	descubristeis
designan	designasteis
detienen	detuvisteis
dirigen	dirigisteis
discuten	discutisteis
duermen	dormisteis
eligen	elegisteis
evaden	evadisteis
evalúan	evaluasteis
explican	explicasteis
fallan	fallasteis
fortalecen	fortalecisteis
identifican	identificasteis
imponen	impusisteis
investigan	investigasteis
leen	leísteis
parecen	parecisteis
parten	partisteis
pierden	perdisteis
preguntan	preguntasteis
previenen	previnisteis
prueban	probasteis
promocionan	promocionasteis
proponen	propusisteis
realizan	realizasteis
recuerdan	recordasteis
refieren	referisteis
regresan	regresasteis
seleccionan	seleccionasteis
sirven	servisteis
sugieren	sugeristeis
supervisan	supervisasteis
tocan	tocasteis
traen	trajisteis
venden	vendisteis
verifican	verificasteis
vuelan	volasteis
