analicé	analizaremos
animé	animaremos
aparecí	apareceremos
apliqué	aplicaremos
ayudé	ayudaremos
caminé	caminaremos
comprendí	comprenderemos
concluí	concluiremos
controlé	controlaremos
cooperé	cooperaremos
coordiné	coordinaremos
creí	creeremos
cubrí	cubriremos
dije	diremos
dejé	dejaremos
descargué	descargaremos
descubrí	descubriremos
designé	designaremos
dormí	dormiremos
elaboré	elaboraremos
enfrenté	enfrentaremos
envié	enviaremos
evalué	evaluaremos
formé	formaremos
funcioné	funcionaremos
habilité	habilitaremos
identifiqué	identificaremos
incrementé	incrementaremos
informé	informaremos
inicié	iniciaremos
leí	leeremos
medí	mediremos
necesité	necesitaremos
olvidé	olvidaremos
pagué	pagaremos
preservé	preservaremos
previne	prevendremos
produje	produciremos
promoví	promoveremos
realicé	realizaremos
recordé	recordaremos
respondí	responderemos
supe	sabremos
seleccioné	seleccionaremos
soporté	soportaremos
superé	superaremos
traté	trataremos
vendí	venderemos
vine	vendremos
voté	votaremos
