abriendo	abrirías
actuando	actuarías
alcanzando	alcanzarías
alentando	alentarías
ampliando	ampliarías
animando	animarías
apoyando	apoyarías
asistiendo	asistirías
caminando	caminarías
casando	casarías
comprendiendo	comprenderías
construyendo	construirías
creando	crearías
descargando	descargarías
descubriendo	descubrirías
empezando	empezarías
entendiendo	entenderías
estudiando	estudiarías
evitando	evitarías
fortaleciendo	fortalecerías
generando	generarías
guardando	guardarías
implicando	implicarías
imponiendo	impondrías
indicando	indicarías
limitando	limitarías
llevando	llevarías
logrando	lograrías
mencionando	mencionarías
muriendo	morirías
participando	participarías
permitiendo	permitirías
preparando	prepararías
preservando	preservarías
publicando	publicarías
quedando	quedarías
recibiendo	recibirías
resolviendo	resolverías
respetando	respetarías
revisando	revisarías
señalando	señalarías
soportando	soportarías
sugiriendo	sugerirías
teniendo	tendrías
terminando	terminarías
tratando	tratarías
uniendo	unirías
usando	usarías
viviendo	vivirías
volviendo	volverías
