aceptan	aceptarían
acuerdan	acordarían
alcanzan	alcanzarían
anuncian	anunciarían
aplican	aplicarían
averiguan	averiguarían
conocen	conocerían
construyen	construirían
cuentan	contarían
contienen	contendrían
cortan	cortarían
cuidan	cuidarían
desarrollan	desarrollarían
dirigen	dirigirían
eligen	elegirían
encuentran	encontrarían
escuchan	escucharían
estudian	estudiarían
firman	firmarían
forman	formarían
garantizan	garantizarían
incluyen	incluirían
inician	iniciarían
integran	integrarían
investigan	investigarían
juegan	jugarían
limpian	limpiarían
localizan	localizarían
matan	matarían
muestran	mostrarían
mueven	moverían
necesitan	necesitarían
observan	observarían
ocurren	ocurrirían
oyen	oirían
parecen	parecerían
parten	partirían
piden	pedirían
pierden	perderían
producen	producirían
promocionan	promocionarían
reducen	reducirían
salvan	salvarían
satisfacen	satisfarían
sufren	sufrirían
superan	superarían
terminan	terminarían
trabajan	trabajarían
viajan	viajarían
votan	votarían
