analizaré	analizaríamos
comenzaré	comenzaríamos
compartiré	compartiríamos
comprenderé	comprenderíamos
confirmaré	confirmaríamos
conservaré	conservaríamos
consultaré	consultaríamos
contaré	contaríamos
correré	correríamos
crearé	crearíamos
creeré	creeríamos
daré	daríamos
designaré	designaríamos
dirigiré	dirigiríamos
ejecutaré	ejecutaríamos
elaboraré	elaboraríamos
elegiré	elegiríamos
encontraré	encontraríamos
entenderé	entenderíamos
estableceré	estableceríamos
existiré	existiríamos
fomentaré	fomentaríamos
generaré	generaríamos
gestionaré	gestionaríamos
impondré	impondríamos
indicaré	indicaríamos
llevaré	llevaríamos
localizaré	localizaríamos
lograré	lograríamos
mediré	mediríamos
moriré	moriríamos
ocurriré	ocurriríamos
permaneceré	permaneceríamos
probaré	probaríamos
produciré	produciríamos
promocionaré	promocionaríamos
proveeré	proveeríamos
recuperaré	recuperaríamos
regresaré	regresaríamos
relacionaré	relacionaríamos
requeriré	requeriríamos
revisaré	revisaríamos
robaré	robaríamos
salvaré	salvaríamos
sobreviviré	sobreviviríamos
traeré	traeríamos
trataré	trataríamos
verificaré	verificaríamos
viviré	viviríamos
volveré	volveríamos
