abandona	abandonaríais
actúa	actuaríais
anima	animaríais
aplica	aplicaríais
atiende	atenderíais
atrae	atraeríais
ayuda	ayudaríais
comienza	comenzaríais
completa	completaríais
comprueba	comprobaríais
continúa	continuaríais
desarrolla	desarrollaríais
describe	describiríais
descubre	descubriríais
desempeña	desempeñaríais
destaca	destacaríais
disfruta	disfrutaríais
elabora	elaboraríais
establece	estableceríais
evalúa	evaluaríais
fomenta	fomentaríais
forma	formaríais
fortalece	fortaleceríais
garantiza	garantizaríais
identifica	identificaríais
imagina	imaginaríais
impone	impondríais
incorpora	incorporaríais
indica	indicaríais
inicia	iniciaríais
limita	limitaríais
limpia	limpiaríais
llama	llamaríais
llora	lloraríais
mide	mediríais
ofrece	ofreceríais
pasa	pasaríais
pone	pondríais
preserva	preservaríais
presta	prestaríais
propone	propondríais
protege	protegeríais
reconoce	reconoceríais
refiere	referiríais
representa	representaríais
sufre	sufriríais
supera	superaríais
usa	usaríais
visita	visitaríais
vuelve	volveríais
