accediste	accederíamos
acordaste	acordaríamos
adquiriste	adquiriríamos
apareciste	apareceríamos
atendiste	atenderíamos
bebiste	beberíamos
comiste	comeríamos
compartiste	compartiríamos
comprendiste	comprenderíamos
comprobaste	comprobaríamos
conservaste	conservaríamos
consolidaste	consolidaríamos
construiste	construiríamos
creciste	creceríamos
defendiste	defenderíamos
demostraste	demostraríamos
dependiste	dependeríamos
ejerciste	ejerceríamos
empezaste	empezaríamos
exploraste	exploraríamos
firmaste	firmaríamos
fomentaste	fomentaríamos
formaste	formaríamos
formulaste	formularíamos
garantizaste	garantizaríamos
gestionaste	gestionaríamos
guardaste	guardaríamos
habilitaste	habilitaríamos
incluiste	incluiríamos
involucraste	involucraríamos
jugaste	jugaríamos
limpiaste	limpiaríamos
llamaste	llamaríamos
mantuviste	mantendríamos
mejoraste	mejoraríamos
mencionaste	mencionaríamos
miraste	miraríamos
mostraste	mostraríamos
previniste	prevendríamos
propusiste	propondríamos
publicaste	publicaríamos
recibiste	recibiríamos
reconociste	reconoceríamos
reemplazaste	reemplazaríamos
revisaste	revisaríamos
sacaste	sacaríamos
salvaste	salvaríamos
solicitaste	solicitaríamos
tocaste	tocaríamos
viajaste	viajaríamos
