administrabas	administraríais
bailabas	bailaríais
cambiabas	cambiaríais
completabas	completaríais
comprobabas	comprobaríais
conservabas	conservaríais
consolidabas	consolidaríais
construías	construiríais
corrías	correríais
cuidabas	cuidaríais
cumplías	cumpliríais
definías	definiríais
desarrollabas	desarrollaríais
descubrías	descubriríais
destacabas	destacaríais
detenías	detendríais
determinabas	determinaríais
entendías	entenderíais
esperabas	esperaríais
evaluabas	evaluaríais
fortalecías	fortaleceríais
gastabas	gastaríais
guardabas	guardaríais
habilitabas	habilitaríais
imaginabas	imaginaríais
incorporabas	incorporaríais
iniciabas	iniciaríais
integrabas	integraríais
ibas	iríais
jugabas	jugaríais
medías	mediríais
obtenías	obtendríais
olvidabas	olvidaríais
prevenías	prevendríais
proporcionabas	proporcionaríais
referías	referiríais
regresabas	regresaríais
respondías	responderíais
sabías	sabríais
salías	saldríais
servías	serviríais
sobrevivías	sobreviviríais
sufrías	sufriríais
superabas	superaríais
trabajabas	trabajaríais
traías	traeríais
utilizabas	utilizaríais
venías	vendríais
verificabas	verificaríais
vivías	viviríais
