abandonaron	abandonaríais
agradecieron	agradeceríais
aplicaron	aplicaríais
atendieron	atenderíais
buscaron	buscaríais
cambiaron	cambiaríais
caminaron	caminaríais
completaron	completaríais
consiguieron	conseguiríais
convirtieron	convertiríais
corrieron	correríais
crecieron	creceríais
describieron	describiríais
desempeñaron	desempeñaríais
destacaron	destacaríais
ejecutaron	ejecutaríais
ejercieron	ejerceríais
escaparon	escaparíais
escribieron	escribiríais
establecieron	estableceríais
estudiaron	estudiaríais
evadieron	evadiríais
examinaron	examinaríais
existieron	existiríais
formularon	formularíais
generaron	generaríais
imaginaron	imaginaríais
implicaron	implicaríais
indicaron	indicaríais
informaron	informaríais
involucraron	involucraríais
lograron	lograríais
lucharon	lucharíais
mencionaron	mencionaríais
movieron	moveríais
necesitaron	necesitaríais
ocurrieron	ocurriríais
ofrecieron	ofreceríais
participaron	participaríais
recordaron	recordaríais
refirieron	referiríais
relacionaron	relacionaríais
representaron	representaríais
resolvieron	resolveríais
respondieron	responderíais
revisaron	revisaríais
robaron	robaríais
siguieron	seguiríais
trataron	trataríais
visitaron	visitaríais
