aceptáis	aceptarían
administráis	administrarían
adquirís	adquirirían
alentáis	alentarían
analizáis	analizarían
animáis	animarían
aseguráis	asegurarían
asistís	asistirían
añadís	añadirían
camináis	caminarían
celebráis	celebrarían
comprendéis	comprenderían
consideráis	considerarían
consistís	consistirían
contáis	contarían
contenéis	contendrían
convertís	convertirían
cortáis	cortarían
cubrís	cubrirían
decidís	decidirían
descargáis	descargarían
desempeñáis	desempeñarían
designáis	designarían
determináis	determinarían
disfrutáis	disfrutarían
evitáis	evitarían
existís	existirían
exploráis	explorarían
fomentáis	fomentarían
generáis	generarían
habéis	habrían
impedís	impedirían
integráis	integrarían
investigáis	investigarían
leéis	leerían
limitáis	limitarían
limpiáis	limpiarían
llegáis	llegarían
mencionáis	mencionarían
observáis	observarían
operáis	operarían
oís	oirían
pasáis	pasarían
ponéis	pondrían
preparáis	prepararían
prestáis	prestarían
salváis	salvarían
seleccionáis	seleccionarían
solicitáis	solicitarían
visitáis	visitarían
