acelerabais	acelerará
acordabais	acordará
aprendíais	aprenderá
aumentabais	aumentará
añadíais	añadirá
bailabais	bailará
caminabais	caminará
celebrabais	celebrará
cerrabais	cerrará
comprabais	comprará
conocíais	conocerá
considerabais	considerará
contribuíais	contribuirá
corríais	correrá
creabais	creará
dependíais	dependerá
dirigíais	dirigirá
encontrabais	encontrará
entendíais	entenderá
establecíais	establecerá
estabais	estará
examinabais	examinará
fallabais	fallará
garantizabais	garantizará
generabais	generará
imponíais	impondrá
indicabais	indicará
informabais	informará
instalabais	instalará
ibais	irá
leíais	leerá
localizabais	localizará
mejorabais	mejorará
modificabais	modificará
moríais	morirá
partíais	partirá
pensabais	pensará
podíais	podrá
probabais	probará
proveíais	proveerá
recibíais	recibirá
reconocíais	reconocerá
resolvíais	resolverá
seguíais	seguirá
sentíais	sentirá
soportabais	soportará
sufríais	sufrirá
sugeríais	sugerirá
vendíais	venderá
volabais	volará
