abordarán	abordaríamos
abrirán	abriríamos
accederán	accederíamos
adquirirán	adquiriríamos
aparecerán	apareceríamos
aplicarán	aplicaríamos
apoyarán	apoyaríamos
aprobarán	aprobaríamos
averiguarán	averiguaríamos
combatirán	combatiríamos
cooperarán	cooperaríamos
crearán	crearíamos
cumplirán	cumpliríamos
desempeñarán	desempeñaríamos
designarán	designaríamos
dirigirán	dirigiríamos
ejecutarán	ejecutaríamos
entenderán	entenderíamos
entrarán	entraríamos
escribirán	escribiríamos
examinarán	examinaríamos
facilitarán	facilitaríamos
generarán	generaríamos
implicarán	implicaríamos
involucrarán	involucraríamos
limpiarán	limpiaríamos
llamarán	llamaríamos
llevarán	llevaríamos
mencionarán	mencionaríamos
observarán	observaríamos
ocurrirán	ocurriríamos
organizarán	organizaríamos
pasarán	pasaríamos
probarán	probaríamos
proveerán	proveeríamos
reemplazarán	reemplazaríamos
referirán	referiríamos
reforzarán	reforzaríamos
resolverán	resolveríamos
revisarán	revisaríamos
robarán	robaríamos
seguirán	seguiríamos
seleccionarán	seleccionaríamos
señalarán	señalaríamos
sugerirán	sugeriríamos
sumarán	sumaríamos
venderán	venderíamos
verán	veríamos
verificarán	verificaríamos
viajarán	viajaríamos
