administrábamos	administraría
aumentábamos	aumentaría
avanzábamos	avanzaría
ayudábamos	ayudaría
celebrábamos	celebraría
combatíamos	combatiría
crecíamos	crecería
dábamos	daría
decíamos	diría
descubríamos	descubriría
destacábamos	destacaría
destruíamos	destruiría
discutíamos	discutiría
disfrutábamos	disfrutaría
dormíamos	dormiría
escapábamos	escaparía
esperábamos	esperaría
firmábamos	firmaría
fomentábamos	fomentaría
formábamos	formaría
gastábamos	gastaría
habilitábamos	habilitaría
imaginábamos	imaginaría
imponíamos	impondría
incluíamos	incluiría
incrementábamos	incrementaría
invertíamos	invertiría
involucrábamos	involucraría
jugábamos	jugaría
leíamos	leería
limitábamos	limitaría
lográbamos	lograría
manteníamos	mantendría
medíamos	mediría
moríamos	moriría
pagábamos	pagaría
parábamos	pararía
partíamos	partiría
preguntábamos	preguntaría
presentábamos	presentaría
preservábamos	preservaría
proporcionábamos	proporcionaría
reemplazábamos	reemplazaría
representábamos	representaría
requeríamos	requeriría
resolvíamos	resolvería
satisfacíamos	satisfaría
éramos	sería
utilizábamos	utilizaría
visitábamos	visitaría
