abristeis	abriría
acelerasteis	aceleraría
aparecisteis	aparecería
apoyasteis	apoyaría
ayudasteis	ayudaría
bailasteis	bailaría
buscasteis	buscaría
casasteis	casaría
compartisteis	compartiría
considerasteis	consideraría
contribuisteis	contribuiría
cumplisteis	cumpliría
dejasteis	dejaría
desarrollasteis	desarrollaría
destruisteis	destruiría
determinasteis	determinaría
dirigisteis	dirigiría
discutisteis	discutiría
dormisteis	dormiría
entrasteis	entraría
escapasteis	escaparía
estudiasteis	estudiaría
explicasteis	explicaría
explorasteis	exploraría
hubisteis	habría
hicisteis	haría
identificasteis	identificaría
impedisteis	impediría
indicasteis	indicaría
instalasteis	instalaría
llamasteis	llamaría
mencionasteis	mencionaría
ocurristeis	ocurriría
pusisteis	pondría
probasteis	probaría
publicasteis	publicaría
regresasteis	regresaría
supisteis	sabría
salisteis	saldría
seguisteis	seguiría
servisteis	serviría
soportasteis	soportaría
terminasteis	terminaría
trabajasteis	trabajaría
tratasteis	trataría
usasteis	usaría
utilizasteis	utilizaría
vendisteis	vendería
vinisteis	vendría
visitasteis	visitaría
