aceleramos	aceleraste
apoyamos	apoyaste
aprovechamos	aprovechaste
aseguramos	aseguraste
asistimos	asististe
asumimos	asumiste
atraemos	atrajiste
bebemos	bebiste
caemos	caíste
celebramos	celebraste
combatimos	combatiste
comemos	comiste
completamos	completaste
comprobamos	comprobaste
conservamos	conservaste
construimos	construiste
contamos	contaste
contenemos	contuviste
coordinamos	coordinaste
decimos	dijiste
definimos	definiste
dejamos	dejaste
descargamos	descargaste
desempeñamos	desempeñaste
dirigimos	dirigiste
ejercemos	ejerciste
empezamos	empezaste
establecemos	estableciste
funcionamos	funcionaste
imponemos	impusiste
incrementamos	incrementaste
intentamos	intentaste
invertimos	invertiste
involucramos	involucraste
llamamos	llamaste
mostramos	mostraste
movemos	moviste
observamos	observaste
pagamos	pagaste
pedimos	pediste
preguntamos	preguntaste
recogemos	recogiste
reemplazamos	reemplazaste
referimos	referiste
respondemos	respondiste
salimos	saliste
salvamos	salvaste
señalamos	señalaste
sufrimos	sufriste
viajamos	viajaste
