accedemos	accedisteis
aceleramos	acelerasteis
administramos	administrasteis
atendemos	atendisteis
añadimos	añadisteis
comenzamos	comenzasteis
concluimos	concluisteis
conducimos	condujisteis
controlamos	controlasteis
cooperamos	cooperasteis
creamos	creasteis
cumplimos	cumplisteis
demostramos	demostrasteis
descargamos	descargasteis
describimos	describisteis
dirigimos	dirigisteis
enviamos	enviasteis
esperamos	esperasteis
evitamos	evitasteis
explicamos	explicasteis
generamos	generasteis
hablamos	hablasteis
imaginamos	imaginasteis
impedimos	impedisteis
implicamos	implicasteis
indicamos	indicasteis
iniciamos	iniciasteis
integramos	integrasteis
investigamos	investigasteis
mejoramos	mejorasteis
morimos	moristeis
obtenemos	obtuvisteis
oímos	oísteis
perdemos	perdisteis
preservamos	preservasteis
probamos	probasteis
promovemos	promovisteis
proponemos	propusisteis
recibimos	recibisteis
reconocemos	reconocisteis
recordamos	recordasteis
resolvemos	resolvisteis
salimos	salisteis
satisfacemos	satisficisteis
sentimos	sentisteis
servimos	servisteis
supervisamos	supervisasteis
tocamos	tocasteis
verificamos	verificasteis
visitamos	visitasteis
