administraría	administraríais
alentaría	alentaríais
apoyaría	apoyaríais
aprendería	aprenderíais
asistiría	asistiríais
ayudaría	ayudaríais
añadiría	añadiríais
cantaría	cantaríais
celebraría	celebraríais
completaría	completaríais
comprendería	comprenderíais
consolidaría	consolidaríais
convertiría	convertiríais
cooperaría	cooperaríais
correría	correríais
decidiría	decidiríais
diría	diríais
defendería	defenderíais
definiría	definiríais
determinaría	determinaríais
elaboraría	elaboraríais
enseñaría	enseñaríais
entraría	entraríais
establecería	estableceríais
evaluaría	evaluaríais
exploraría	exploraríais
formularía	formularíais
habilitaría	habilitaríais
incorporaría	incorporaríais
instalaría	instalaríais
intentaría	intentaríais
investigaría	investigaríais
jugaría	jugaríais
limitaría	limitaríais
pararía	pararíais
permitiría	permitiríais
promocionaría	promocionaríais
proporcionaría	proporcionaríais
reconocería	reconoceríais
requeriría	requeriríais
respondería	responderíais
sabría	sabríais
satisfaría	satisfaríais
solicitaría	solicitaríais
sufriría	sufriríais
superaría	superaríais
tendría	tendríais
tomaría	tomaríais
uniría	uniríais
votaría	votaríais
