abandonaba	abandonaríamos
administraba	administraríamos
ampliaba	ampliaríamos
animaba	animaríamos
aprovechaba	aprovecharíamos
atendía	atenderíamos
avanzaba	avanzaríamos
cambiaba	cambiaríamos
caminaba	caminaríamos
comprendía	comprenderíamos
conservaba	conservaríamos
consistía	consistiríamos
coordinaba	coordinaríamos
crecía	creceríamos
creía	creeríamos
cumplía	cumpliríamos
decía	diríamos
defendía	defenderíamos
dejaba	dejaríamos
describía	describiríamos
desempeñaba	desempeñaríamos
disfrutaba	disfrutaríamos
eliminaba	eliminaríamos
encontraba	encontraríamos
firmaba	firmaríamos
funcionaba	funcionaríamos
habilitaba	habilitaríamos
implicaba	implicaríamos
invertía	invertiríamos
mantenía	mantendríamos
mencionaba	mencionaríamos
ocurría	ocurriríamos
partía	partiríamos
pensaba	pensaríamos
permanecía	permaneceríamos
preparaba	prepararíamos
preservaba	preservaríamos
promocionaba	promocionaríamos
proponía	propondríamos
quedaba	quedaríamos
realizaba	realizaríamos
reducía	reduciríamos
reemplazaba	reemplazaríamos
respetaba	respetaríamos
revisaba	revisaríamos
era	seríamos
soportaba	soportaríamos
terminaba	terminaríamos
venía	vendríamos
volaba	volaríamos
