abandonaste	abandonarán
accediste	accederán
aceptaste	aceptarán
actuaste	actuarán
administraste	administrarán
alentaste	alentarán
atrajiste	atraerán
aumentaste	aumentarán
bailaste	bailarán
comprendiste	comprenderán
condujiste	conducirán
contaste	contarán
creaste	crearán
demostraste	demostrarán
destacaste	destacarán
escapaste	escaparán
esperaste	esperarán
estudiaste	estudiarán
examinaste	examinarán
exististe	existirán
explicaste	explicarán
expresaste	expresarán
garantizaste	garantizarán
hubiste	habrán
impediste	impedirán
informaste	informarán
luchaste	lucharán
manejaste	manejarán
mencionaste	mencionarán
necesitaste	necesitarán
organizaste	organizarán
pareciste	parecerán
pasaste	pasarán
pensaste	pensarán
permaneciste	permanecerán
promoviste	promoverán
recogiste	recogerán
reconociste	reconocerán
redujiste	reducirán
representaste	representarán
revisaste	revisarán
saliste	saldrán
satisficiste	satisfarán
sobreviviste	sobrevivirán
solicitaste	solicitarán
tocaste	tocarán
utilizaste	utilizarán
viste	verán
viviste	vivirán
votaste	votarán
