accedéis	accederás
anunciáis	anunciarás
aprendéis	aprenderás
aprobáis	aprobarás
avanzáis	avanzarás
averiguáis	averiguarás
añadís	añadirás
coméis	comerás
completáis	completarás
contáis	contarás
contenéis	contendrás
continuáis	continuarás
corréis	correrás
creáis	crearás
demostráis	demostrarás
designáis	designarás
destacáis	destacarás
elimináis	eliminarás
encontráis	encontrarás
escapáis	escaparás
escribís	escribirás
establecéis	establecerás
estáis	estarás
existís	existirás
falláis	fallarás
habilitáis	habilitarás
hacéis	harás
imagináis	imaginarás
introducís	introducirás
involucráis	involucrarás
limitáis	limitarás
lleváis	llevarás
mejoráis	mejorarás
olvidáis	olvidarás
organizáis	organizarás
pedís	pedirás
pensáis	pensarás
perdéis	perderás
preserváis	preservarás
proponéis	propondrás
realizáis	realizarás
salís	saldrás
salváis	salvarás
satisfacéis	satisfarás
sumáis	sumarás
termináis	terminarás
unís	unirás
venís	vendrás
verificáis	verificarás
voláis	volarás
