aplicabais	aplicaban
asumíais	asumían
averiguabais	averiguaban
ayudabais	ayudaban
añadíais	añadían
buscabais	buscaban
caíais	caían
cantabais	cantaban
celebrabais	celebraban
compartíais	compartían
comprabais	compraban
conocíais	conocían
considerabais	consideraban
convertíais	convertían
cumplíais	cumplían
decíais	decían
dejabais	dejaban
descargabais	descargaban
dirigíais	dirigían
ejecutabais	ejecutaban
encontrabais	encontraban
enseñabais	enseñaban
esperabais	esperaban
evitabais	evitaban
existíais	existían
firmabais	firmaban
ganabais	ganaban
habilitabais	habilitaban
hacíais	hacían
intentabais	intentaban
llamabais	llamaban
llegabais	llegaban
manteníais	mantenían
mencionabais	mencionaban
movíais	movían
olvidabais	olvidaban
organizabais	organizaban
perdíais	perdían
preparabais	preparaban
preveníais	prevenían
promocionabais	promocionaban
reemplazabais	reemplazaban
reforzabais	reforzaban
relacionabais	relacionaban
revisabais	revisaban
sabíais	sabían
sentíais	sentían
señalabais	señalaban
traíais	traían
veíais	veían
