abandonaste	abandonaré
administraste	administraré
alentaste	alentaré
apareciste	apareceré
aprobaste	aprobaré
aseguraste	aseguraré
avanzaste	avanzaré
averiguaste	averiguaré
añadiste	añadiré
buscaste	buscaré
celebraste	celebraré
cerraste	cerraré
comenzaste	comenzaré
compartiste	compartiré
comprobaste	comprobaré
concluiste	concluiré
conociste	conoceré
consideraste	consideraré
cortaste	cortaré
creciste	creceré
creíste	creeré
cuidaste	cuidaré
definiste	definiré
dependiste	dependeré
destacaste	destacaré
dirigiste	dirigiré
dormiste	dormiré
ejecutaste	ejecutaré
esperaste	esperaré
facilitaste	facilitaré
imaginaste	imaginaré
impediste	impediré
investigaste	investigaré
leíste	leeré
llevaste	llevaré
luchaste	lucharé
mataste	mataré
mencionaste	mencionaré
moriste	moriré
obtuviste	obtendré
prestaste	prestaré
previniste	prevendré
quedaste	quedaré
reconociste	reconoceré
reemplazaste	reemplazaré
requeriste	requeriré
supiste	sabré
sugeriste	sugeriré
tocaste	tocaré
volaste	volaré
