adoptaría	adoptarías
animaría	animarías
aplicaría	aplicarías
atendería	atenderías
causaría	causarías
compartiría	compartirías
conduciría	conducirías
confiaría	confiarías
convertiría	convertirías
cortaría	cortarías
cumpliría	cumplirías
defendería	defenderías
desarrollaría	desarrollarías
destruiría	destruirías
determinaría	determinarías
dirigiría	dirigirías
disfrutaría	disfrutarías
ejecutaría	ejecutarías
encontraría	encontrarías
entendería	entenderías
facilitaría	facilitarías
garantizaría	garantizarías
gastaría	gastarías
guardaría	guardarías
informaría	informarías
instalaría	instalarías
localizaría	localizarías
lucharía	lucharías
operaría	operarías
organizaría	organizarías
oiría	oirías
perdería	perderías
permitiría	permitirías
pondría	pondrías
prevendría	prevendrías
produciría	producirías
promocionaría	promocionarías
protegería	protegerías
recibiría	recibirías
reduciría	reducirías
reemplazaría	reemplazarías
regresaría	regresarías
revisaría	revisarías
sabría	sabrías
sentaría	sentarías
uniría	unirías
vería	verías
verificaría	verificarías
volaría	volarías
volvería	volverías
