aceleraba	aceleraría
agradecía	agradecería
apoyaba	apoyaría
caía	caería
cambiaba	cambiaría
comía	comería
concluía	concluiría
daba	daría
decidía	decidiría
desarrollaba	desarrollaría
descargaba	descargaría
describía	describiría
descubría	descubriría
detenía	detendría
dirigía	dirigiría
disfrutaba	disfrutaría
encontraba	encontraría
escuchaba	escucharía
examinaba	examinaría
expresaba	expresaría
formulaba	formularía
fortalecía	fortalecería
gestionaba	gestionaría
guardaba	guardaría
identificaba	identificaría
impedía	impediría
incorporaba	incorporaría
incrementaba	incrementaría
instalaba	instalaría
leía	leería
mantenía	mantendría
obtenía	obtendría
ofrecía	ofrecería
perdía	perdería
preservaba	preservaría
promocionaba	promocionaría
regresaba	regresaría
representaba	representaría
requería	requeriría
satisfacía	satisfaría
servía	serviría
soportaba	soportaría
supervisaba	supervisaría
tenía	tendría
terminaba	terminaría
tocaba	tocaría
trataba	trataría
usaba	usaría
utilizaba	utilizaría
volaba	volaría
