abordado	abordaría
aceptado	aceptaría
adquirido	adquiriría
alentado	alentaría
ayudado	ayudaría
caído	caería
cambiado	cambiaría
causado	causaría
conseguido	conseguiría
construido	construiría
contribuido	contribuiría
cooperado	cooperaría
coordinado	coordinaría
cortado	cortaría
creído	creería
definido	definiría
dejado	dejaría
dormido	dormiría
eliminado	eliminaría
entrado	entraría
enviado	enviaría
escrito	escribiría
fallado	fallaría
fomentado	fomentaría
fortalecido	fortalecería
habido	habría
identificado	identificaría
instalado	instalaría
invertido	invertiría
logrado	lograría
movido	movería
operado	operaría
perdido	perdería
podido	podría
promocionado	promocionaría
protegido	protegería
recogido	recogería
relacionado	relacionaría
requerido	requeriría
resuelto	resolvería
sacado	sacaría
salido	saldría
satisfecho	satisfaría
sentido	sentiría
sobrevivido	sobreviviría
sumado	sumaría
tratado	trataría
viajado	viajaría
visitado	visitaría
volado	volaría
